[2026-05-28T09:56:19.757418+02:00] search_for execution: file_name = Lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 1
[2026-05-28T10:10:43.843813+02:00] search_for execution: file_name = l, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 2
[2026-05-28T10:10:43.983317+02:00] search_for execution: file_name = le, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 3
[2026-05-28T10:10:44.099771+02:00] search_for execution: file_name = leb, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 4
[2026-05-28T10:10:44.173811+02:00] search_for execution: file_name = lebe, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 5
[2026-05-28T10:10:44.278393+02:00] search_for execution: file_name = leben, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 6
[2026-05-28T10:10:44.338099+02:00] search_for execution: file_name = lebens, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 7
[2026-05-28T10:10:46.907532+02:00] search_for execution: file_name = l, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 8
[2026-05-28T10:10:47.070756+02:00] search_for execution: file_name = le, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 9
[2026-05-28T10:10:47.163942+02:00] search_for execution: file_name = leb, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 10
[2026-05-28T10:10:47.251705+02:00] search_for execution: file_name = lebe, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 11
[2026-05-28T10:10:47.328484+02:00] search_for execution: file_name = leben, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 12
[2026-05-28T10:10:47.467501+02:00] search_for execution: file_name = lebens, is_quick_search = true, curr_dir = /Users/rickyperlick/Documents, search_id = 13
[2026-05-28T10:18:30.868346+02:00] search_for execution: file_name = arickinda, is_quick_search = false, curr_dir = /Users/rickyperlick/Pictures, search_id = 1
[2026-05-28T10:21:03.767253+02:00] search_for execution: file_name = ausgangsrechnungen, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 2
[2026-05-28T12:56:27.855118+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 1
[2026-05-28T12:57:15.218492+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 1
[2026-05-28T12:58:12.105015+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 2
[2026-05-28T13:02:18.604283+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 1
[2026-05-28T14:37:59.834108+02:00] search_for execution: file_name = <, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 1
[2026-05-28T14:38:10.929248+02:00] search_for execution: file_name = lebenslau, is_quick_search = false, curr_dir = /Users/rickyperlick, search_id = 2
[2026-05-28T14:38:15.435047+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick, search_id = 3
[2026-05-28T14:38:36.698021+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick, search_id = 4
[2026-05-28T14:41:01.934658+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 5
[2026-05-28T14:43:08.866715+02:00] search_for execution: file_name = lebenslauf, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 6
[2026-05-28T18:43:08.844800+02:00] search_for execution: file_name = o, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 1
[2026-05-28T18:43:09.033667+02:00] search_for execution: file_name = ol, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 2
[2026-05-28T18:43:09.186778+02:00] search_for execution: file_name = oll, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 3
[2026-05-28T18:43:09.292205+02:00] search_for execution: file_name = olla, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 4
[2026-05-28T18:43:09.362730+02:00] search_for execution: file_name = ollam, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 5
[2026-05-28T18:43:09.468701+02:00] search_for execution: file_name = ollama, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 6
[2026-05-28T18:43:13.825007+02:00] search_for execution: file_name = o, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 7
[2026-05-28T18:43:14.012033+02:00] search_for execution: file_name = ol, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 8
[2026-05-28T18:43:14.164184+02:00] search_for execution: file_name = oll, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 9
[2026-05-28T18:43:14.258377+02:00] search_for execution: file_name = olla, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 10
[2026-05-28T18:43:14.328651+02:00] search_for execution: file_name = ollam, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 11
[2026-05-28T18:43:14.399462+02:00] search_for execution: file_name = ollama, is_quick_search = true, curr_dir = /Users/rickyperlick, search_id = 12
[2026-05-28T19:15:11.291407+02:00] search_for execution: file_name = ausgangsrechnungen, is_quick_search = false, curr_dir = /Users/rickyperlick/Documents, search_id = 1
[2026-05-28T19:15:17.622855+02:00] search_for execution: file_name = Ausgangsrechnungen, is_quick_search = false, curr_dir = /Users/rickyperlick, search_id = 2
[2026-05-28T19:15:36.463814+02:00] search_for execution: file_name = Ausgangsrechnungen, is_quick_search = false, curr_dir = /Users/rickyperlick, search_id = 3
